Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,CBG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CBS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CCE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CCI,0,0,0,0,75110000000.0,102360000000.0,51.62,42.73,3.2,11.42,9.35,15.52,27.23,22.12,33.41,3.54,17.19,6600000000.0,15.26,17.3,4350000000.0,3810000000.0,1460000000.0,3.36,625.9,312000000.0,0.72,27560000000.0,342.94,0.71,18.56,2700000000.0,1400000000.0,0.54,178.6,181.57,1740000.0,433030000.0,430450000.0,0.43,92.11,5910000.0,3.34,1.58,4370000.0
0,0,CCL,0,0,0,0,12140000000.0,41440000000.0,5.99,33.33,,2.0,,7.08,-7.59,-156.77,-105.0,-7.11,-70.26,5860000000.0,5.16,4702.0,-809000000.0,-3910000000.0,-9180000000.0,-8.31,,7210000000.0,6.1,36390000000.0,440.62,0.64,7.24,-2460000000.0,-3780000000.0,2.04,13.36,19.05,43640000.0,994620000.0,1050000000.0,8.9,53.62,125400000.0,2.87,16.83,105200000.0
0,0,CELG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CERN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CF,0,0,0,0,18110000000.0,19200000000.0,11.2,4.39,1.07,2.23,4.53,2.3,4.73,19.73,43.55,17.64,34.39,8359999999.999999,39.16,173.7,2390000000.0,4530000000.0,1650000000.0,7.75,484.8,2620000000.0,12.55,3700000000.0,54.82,1.72,19.15,3690000000.0,2770000000.0,1.02,94.65,78.5,3570000.0,208600000.0,207600000.0,0.41,93.84,8600000.0,2.4,5.34,5830000.0
0,0,CFN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CHK,0,0,0,0,10840000000.0,13620000000.0,,6.88,,,2.01,2.61,-1.65,-1.32,-3.46,-1.84,-2.46,8620000000.0,80.35,89.6,3420000000.0,911000000.0,-114000000.0,,,19000000.0,0.15,2800000000.0,52.07,0.34,42.37,2250000000.0,2370000000.0,,89.87,74.8,2360000.0,127190000.0,114450000.0,0.06,117.37,18780000.0,9.25,18.39,16399999.999999998
0,0,CHRW,0,0,0,0,13380000000.0,15620000000.0,14.85,14.73,3.75,0.56,6.39,0.62,12.06,3.75,4.79,11.48,47.49,25110000000.0,191.01,41.9,1610000000.0,1270000000.0,941290000.0,7.08,56.0,242810000.0,1.91,2480000000.0,118.28,1.49,16.37,137720000.0,-74270000.0,0.74,104.93,100.3,1280000.0,127270000.0,126980000.0,0.75,96.45,10430000.0,7.93,11.34,10030000.0
0,0,CI,0,0,0,0,84990000000.0,113750000000.0,16.63,12.08,1.09,0.5,1.84,0.64,,3.04,4.69,3.4,11.53,176990000000.0,535.48,6.6,23160000000.0,10100000000.0,5390000000.0,16.11,1.9,5150000000.0,16.25,33750000000.0,73.1,0.81,144.61,8130000000.000001,2810000000.0,0.77,258.63,232.99,1650000.0,317270000.0,315910000.0,1.52,90.45,3590000.0,2.05,1.14,3000000.0
0,0,CIM,0,0,0,0,2180000000.0,,12.93,6.28,,5.76,0.65,33.54,,59.76,75.1,1.56,7.24,417860000.0,1.77,,1060000000.0,,176000000.0,0.71,,165730000.0,0.7,11520000000.0,345.21,3.66,14.07,532900000.0,,1.04,9.54,13.11,2540000.0,237050000.0,235290000.0,1.32,50.91,10760000.0,4.42,4.56,8900000.0
0,0,CINF,0,0,0,0,18790000000.0,18690000000.0,9.31,21.55,,2.21,1.55,2.17,,23.82,30.11,5.54,17.67,8620000000.0,53.58,-45.4,3830000000.0,2690000000.0,2049999999.9999998,12.58,,987000000.0,6.16,890000000.0,7.36,1.15,75.43,1820000000.0,1950000000.0,0.68,124.13,122.29,160360000.0,160360000.0,155320000.0,1.89,67.38,2730000.0,5.92,1.96,2730000.0
0,0,CL,0,0,0,0,66930000000.00001,73660000000.0,33.15,26.11,3.89,3.87,208.52,4.22,19.95,11.7,21.34,14.79,318.19,17480000000.0,20.73,1.3,10380000000.0,4290000000.0,2040000000.0,2.41,-17.9,942000000.0,1.12,7610000000.0,1044.92,1.09,0.38,3110000000.0,2040000000.0,0.55,77.89,78.39,5430000.0,837940000.0,787140000.0,0.1,81.21,12630000.0,2.86,1.6,14220000.0
0,0,CLDX,0,0,0,0,1360000000.0,984600000.0,,,,314.28,3.42,237.83,-13.36,0.0,-1854.71,-14.93,-26.01,4139999.9999999995,0.09,-74.6,-48660000.0,-73680000.0,-77020000.0,-1.73,,380470000.0,8.14,2640000.0,0.66,26.83,8.52,-67360000.0,-42970000.0,2.72,27.31,35.92,1480000.0,46750000.0,41200000.0,0.21,108.69,4710000.0,6.89,11.87,4910000.0
0,0,CLF,0,0,0,0,8580000000.0,13580000000.0,2.41,2.6,,0.4,1.35,0.61,2.23,16.77,23.66,17.88,75.23,22350000000.0,44.19,47.1,4530000000.0,6270000000.0,3560000000.0,6.95,1853.7,35000000.0,0.07,5030000000.0,76.09,2.28,12.08,3700000000.0,1340000000.0,2.15,21.81,22.58,18660000.0,524740000.0,479020000.0,1.33,61.43,34310000.0,1.91,6.63,29890000.0
